78	-2,0,1;-2,-4,1;-2,4,1;-4,-2,-2;-4,2,-2;-4,-4,1;-4,4,1;-4,-6,-1;-4,6,-1;-6,0,1;-6,-4,1;-6,4,1;-8,0,-1
79	0,0,2;0,-2,-2;0,2,-2;-2,0,1;2,0,3;2,-2,-1;2,2,-1;2,-4,1;2,4,1;4,0,1;4,-2,-1;4,2,-1
80	2,0,-2;2,-2,2;2,2,2;4,0,-4;4,-2,2;4,2,2;4,-4,-1;4,4,-1;6,0,-2;6,-2,2;6,2,2;8,0,-1
81	0,0,2;2,0,1;2,-2,-1;2,2,-1;4,0,1;4,-2,-1;4,2,-1;6,0,1
82	0,0,-1;0,-2,2;0,2,2;0,-4,-1;0,4,-1;-2,0,-3;-2,-2,3;-2,2,3;-2,-4,-2;-2,4,-2;-2,-6,1;-2,6,1;-4,0,-2;-4,-2,1;-4,2,1;-4,-4,-1;-4,4,-1;-6,0,1
83	0,0,-2;0,-2,1;0,2,1;-2,0,-4;-2,-2,3;-2,2,3;-2,-4,-1;-2,4,-1;-4,0,-3;-4,-2,3;-4,2,3;-6,0,-2
84	-4,0,2;-4,-2,-2;-4,2,-2;-4,-4,1;-4,4,1;-6,0,4;-6,-2,-2;-6,2,-2;-6,-4,2;-6,4,2;-8,0,1;-8,-2,-2;-8,2,-2
85	0,0,2;0,-2,-1;0,2,-1;-2,0,1;2,0,2;2,-2,-1;2,2,-1;4,0,2;4,-2,-1;4,2,-1;6,0,1;6,-2,-1;6,2,-1;8,0,1
86	4,-2,1;4,2,1;4,-6,1;4,6,1;6,0,-2;6,-2,1;6,2,1;6,-4,-2;6,4,-2;6,-6,1;6,6,1;6,-8,-1;6,8,-1;8,0,-1;8,-2,1;8,2,1;8,-4,-1;8,4,-1;8,-6,1;8,6,1
87	0,0,4;0,-2,-2;0,2,-2;-2,0,2;2,0,3;-2,-2,-1;-2,2,-1;2,-2,-2;2,2,-2;-4,0,1;4,0,2;4,-2,-1;4,2,-1;6,0,1
88	0,0,-2;0,-2,2;0,2,2;0,-4,-1;0,4,-1;-2,0,-2;2,0,-2;-2,-2,1;-2,2,1;2,-2,2;2,2,2;-2,-4,-1;-2,4,-1;2,-4,-1;2,4,-1;4,0,-1;-4,-2,1;-4,2,1;4,-2,1;4,2,1
89	-2,0,1;-2,-2,-1;-2,2,-1;-2,-4,1;-2,4,1;-2,-6,-1;-2,6,-1;-4,0,3;-4,-2,-2;-4,2,-2;-4,-4,3;-4,4,3;-4,-6,-1;-4,6,-1;-4,-8,1;-4,8,1;-6,0,1;-6,-2,-2;-6,2,-2;-6,-4,1;-6,4,1;-6,-6,-1;-6,6,-1
90	2,0,1;2,-4,1;2,4,1;4,0,2;4,-2,-3;4,2,-3;4,-4,2;4,4,2;4,-6,-1;4,6,-1;6,0,3;6,-2,-3;6,2,-3;6,-4,2;6,4,2;6,-6,-1;6,6,-1;8,0,1;8,-2,-1;8,2,-1;8,-4,1;8,4,1
91	0,0,-1;0,-2,1;0,2,1;2,0,-4;2,-2,3;2,2,3;2,-4,-1;2,4,-1;4,0,-5;4,-2,4;4,2,4;4,-4,-1;4,4,-1;6,0,-4;6,-2,2;6,2,2;6,-4,-1;6,4,-1;8,0,-1;8,-2,1;8,2,1
92	0,0,1;0,-4,1;0,4,1;2,0,1;2,-2,-2;2,2,-2;2,-4,1;2,4,1;2,-6,-1;2,6,-1;4,0,2;4,-2,-2;4,2,-2;4,-4,2;4,4,2;4,-6,-1;4,6,-1;6,0,1;6,-2,-1;6,2,-1;6,-4,1;6,4,1
93	0,0,-1;0,-2,2;0,2,2;0,-4,-1;0,4,-1;0,-6,1;0,6,1;-2,0,-4;-2,-2,3;-2,2,3;-2,-4,-3;-2,4,-3;-2,-6,1;-2,6,1;-2,-8,-1;-2,8,-1;-4,0,-2;-4,-2,2;-4,2,2;-4,-4,-1;-4,4,-1;-4,-6,1;-4,6,1
94	0,0,5;0,-2,-3;0,2,-3;0,-4,1;0,4,1;2,0,2;-2,0,5;2,-2,-1;2,2,-1;-2,-2,-4;-2,2,-4;-2,-4,1;-2,4,1;-4,0,4;-4,-2,-2;-4,2,-2;-4,-4,1;-4,4,1;-6,0,1;-6,-2,-1;-6,2,-1
